education,skills,interests,certifications_count,career
Bachelor,"Docker,Python,JavaScript,API Development,AWS,Node.js,Java,Algorithms,SQL,React",Web Development,0,Software Engineer
Bachelor,"Docker,JavaScript,Node.js,Algorithms,AWS,C++,Python,Java",Software Development,2,Software Engineer
Master,"TensorFlow,R,Machine Learning,SQL,Pandas,Tableau,PyTorch,NumPy","Data Analysis,Research",1,Data Scientist
Bachelor,"HTML,Prototyping,CSS,Figma,Usability Testing,Wireframing",Product Development,3,UX/UI Designer
Bachelor,"AWS,Docker,JavaScript,Java,Python","Mobile Apps,Web Development,Software Development",3,Software Engineer
Bachelor,"AWS,SQL,JavaScript,React,Node.js",Web Development,1,Software Engineer
Master,"Risk Assessment,Firewalls,Penetration Testing,Network Security,Cryptography","Network Protection,Risk Management",0,Cybersecurity Analyst
Bachelor,"Python,Cryptography,Penetration Testing,Ethical Hacking,SIEM,Firewalls,Risk Assessment,Network Security,Linux",Ethical Hacking,0,Cybersecurity Analyst
Bachelor,"Docker,CI/CD,Kubernetes,Python,AWS,Jenkins,Git","Infrastructure,System Administration,Cloud Computing",2,DevOps Engineer
Bachelor,"Figma,Usability Testing,HTML,User Research,Wireframing,Adobe XD","User Experience,Design,Product Development",0,UX/UI Designer
PhD,"Pandas,Tableau,Statistics,NumPy,TensorFlow,Machine Learning,Deep Learning,Python,R,SQL",Data Analysis,0,Data Scientist
Bachelor,"Prototyping,CSS,HTML,Figma,Wireframing,Usability Testing,Adobe XD",Design,3,UX/UI Designer
PhD,"SQL,Data Visualization,NumPy,Machine Learning,R,PyTorch,Statistics,TensorFlow,Python","Statistics,AI",1,Data Scientist
Bachelor,"Kubernetes,Python,Docker,Ansible,AWS,Linux,Git","Cloud Computing,Automation,Infrastructure",0,DevOps Engineer
Bachelor,"Scrum,Agile,Leadership,Stakeholder Management,User Research,Product Strategy,SQL,Roadmap Planning",Innovation,0,Product Manager
Master,"Leadership,Agile,Stakeholder Management,User Research,Scrum,SQL,Product Strategy","Leadership,Product Development,Strategy",0,Product Manager
Bachelor,"Python,Java,React,Docker,Algorithms,AWS,Git,JavaScript,C++,Node.js",Problem Solving,1,Software Engineer
Bachelor,"Wireframing,Design Thinking,Adobe XD,User Research,Figma,Usability Testing,CSS,Prototyping,HTML","Design,Product Development,User Experience",1,UX/UI Designer
Master,"R,PyTorch,Machine Learning,TensorFlow,Python,Statistics,Tableau,SQL,Deep Learning,NumPy","AI,Data Analysis,Research",3,Data Scientist
Master,"Scrum,Stakeholder Management,SQL,Data Analysis,Leadership,User Research,Agile","Product Development,Innovation",1,Product Manager
Bachelor,"AWS,Java,JavaScript,Docker,Algorithms,Python","Mobile Apps,Web Development",0,Software Engineer
Bachelor,"Ethical Hacking,Firewalls,Penetration Testing,Network Security,Linux,Cryptography",Risk Management,0,Cybersecurity Analyst
Master,"TensorFlow,Pandas,Deep Learning,PyTorch,SQL,NumPy,Machine Learning,Tableau","AI,Machine Learning",2,Data Scientist
Master,"Python,Docker,Kubernetes,Ansible,Terraform,CI/CD,Bash,Jenkins,Azure,Git","Infrastructure,Automation,Cloud Computing",3,DevOps Engineer
Bachelor,"React,Git,JavaScript,API Development,Java,SQL,AWS,Algorithms,Docker,C++","Mobile Apps,Web Development",0,Software Engineer
Master,"Python,Java,C++,SQL,React,AWS,Data Structures",Problem Solving,2,Software Engineer
Bachelor,"Terraform,Python,Bash,Jenkins,Azure,Linux",Automation,2,DevOps Engineer
Master,"SQL,Tableau,Statistics,R,TensorFlow,Python,NumPy,Pandas","Data Analysis,AI",1,Data Scientist
PhD,"Data Visualization,PyTorch,R,Pandas,Python,TensorFlow,Machine Learning,Statistics","Data Analysis,Statistics",1,Data Scientist
Bachelor,"Leadership,Product Strategy,User Research,Data Analysis,Stakeholder Management,Agile,Scrum,SQL,Roadmap Planning","Innovation,Leadership",2,Product Manager
Master,"Tableau,Pandas,PyTorch,Python,Machine Learning,Statistics,Deep Learning,SQL,Data Visualization","Data Analysis,Research,Machine Learning",0,Data Scientist
Master,"Git,Terraform,AWS,Azure,Linux,Jenkins,Ansible,Kubernetes,Bash,Python","Automation,Cloud Computing,System Administration",0,DevOps Engineer
Bachelor,"CSS,Design Thinking,Adobe XD,HTML,Prototyping,Wireframing,User Research,Figma","Visual Design,User Experience",0,UX/UI Designer
Bachelor,"Adobe XD,User Research,Prototyping,CSS,Figma,Design Thinking,Usability Testing,Wireframing","Design,Product Development,Visual Design",1,UX/UI Designer
Bachelor,"Figma,HTML,Wireframing,CSS,Adobe XD,Usability Testing,User Research,Prototyping","Visual Design,Product Development,Design",1,UX/UI Designer
Master,"Tableau,PyTorch,Pandas,R,Statistics,Python,SQL,Deep Learning",Machine Learning,1,Data Scientist
Master,"Design Thinking,User Research,HTML,Prototyping,Adobe XD,Figma,CSS","User Experience,Product Development,Visual Design",0,UX/UI Designer
PhD,"Machine Learning,NumPy,Python,Pandas,PyTorch,Tableau,TensorFlow,R,Statistics,SQL",Data Analysis,1,Data Scientist
Bachelor,"SQL,Java,React,Data Structures,JavaScript,Git","Web Development,Software Development,Problem Solving",2,Software Engineer
Bachelor,"Usability Testing,HTML,Figma,Adobe XD,CSS,User Research","User Experience,Visual Design,Product Development",2,UX/UI Designer
Bachelor,"API Development,Node.js,React,JavaScript,AWS",Software Development,1,Software Engineer
Bachelor,"Roadmap Planning,Product Strategy,Agile,Data Analysis,SQL,Stakeholder Management,Scrum,Leadership,User Research",Strategy,1,Product Manager
Bachelor,"Statistics,R,SQL,Pandas,TensorFlow,Data Visualization,Python,Tableau,NumPy","Research,AI,Statistics",1,Data Scientist
Master,"Data Analysis,Product Strategy,User Research,Leadership,Agile,SQL,Roadmap Planning,Stakeholder Management",Product Development,1,Product Manager
Bachelor,"Python,Network Security,Firewalls,SIEM,Penetration Testing,Risk Assessment,Ethical Hacking","Network Protection,Risk Management,Ethical Hacking",1,Cybersecurity Analyst
Master,"Prototyping,Wireframing,Design Thinking,Usability Testing,Adobe XD","Design,Product Development",1,UX/UI Designer
Master,"AWS,Data Structures,API Development,SQL,Java,Git,JavaScript,Python,Docker,C++","Web Development,Software Development",1,Software Engineer
Bachelor,"Python,Cryptography,Firewalls,SIEM,Penetration Testing,Risk Assessment,Ethical Hacking,Network Security","Security,Network Protection",0,Cybersecurity Analyst
Bachelor,"Risk Assessment,Network Security,Penetration Testing,Ethical Hacking,SIEM,Cryptography",Risk Management,0,Cybersecurity Analyst
Master,"Docker,Bash,Azure,Ansible,Python,Jenkins,Git,Kubernetes","Infrastructure,Automation",0,DevOps Engineer
Master,"Penetration Testing,Ethical Hacking,Python,Linux,Cryptography,Firewalls,Risk Assessment,Network Security,SIEM","Risk Management,Security",3,Cybersecurity Analyst
Bachelor,"Data Structures,Docker,Java,SQL,C++,Node.js,API Development,JavaScript,React","Mobile Apps,Problem Solving",0,Software Engineer
Master,"Wireframing,HTML,User Research,Prototyping,CSS,Design Thinking,Figma,Usability Testing","Design,User Experience,Product Development",0,UX/UI Designer
Master,"Scrum,User Research,Agile,Data Analysis,Leadership,Roadmap Planning,SQL,Product Strategy",Product Development,0,Product Manager
PhD,"Pandas,TensorFlow,NumPy,Python,R,Machine Learning","AI,Statistics",1,Data Scientist
Bachelor,"Wireframing,User Research,HTML,Usability Testing,Figma,Design Thinking,Prototyping",Design,1,UX/UI Designer
Bachelor,"Java,API Development,AWS,Git,JavaScript","Mobile Apps,Software Development,Problem Solving",2,Software Engineer
Bachelor,"Python,Ansible,Jenkins,Git,Bash,Docker","Infrastructure,Automation",0,DevOps Engineer
Bachelor,"Agile,Product Strategy,Roadmap Planning,User Research,Leadership,Scrum",Strategy,0,Product Manager
Master,"Design Thinking,Adobe XD,Wireframing,User Research,HTML,Usability Testing,Figma,Prototyping","User Experience,Visual Design,Design",0,UX/UI Designer
Master,"R,Machine Learning,Data Visualization,TensorFlow,Tableau,NumPy,Statistics,SQL,PyTorch","Machine Learning,AI",0,Data Scientist
Bachelor,"Adobe XD,CSS,Design Thinking,User Research,Wireframing,Figma,Usability Testing,Prototyping,HTML","Product Development,Visual Design,Design",0,UX/UI Designer
Bachelor,"Terraform,CI/CD,Bash,Kubernetes,Jenkins,Linux","System Administration,Cloud Computing,Infrastructure",2,DevOps Engineer
Bachelor,"Java,React,Algorithms,C++,JavaScript,Docker,Node.js","Web Development,Problem Solving,Software Development",2,Software Engineer
Bachelor,"Roadmap Planning,User Research,SQL,Scrum,Data Analysis,Leadership","Leadership,Strategy",0,Product Manager
Bachelor,"User Research,Data Analysis,Scrum,Product Strategy,Leadership,SQL","Innovation,Leadership,Strategy",0,Product Manager
Bachelor,"User Research,Figma,CSS,Adobe XD,Usability Testing",User Experience,2,UX/UI Designer
Bachelor,"Java,Git,API Development,JavaScript,C++,Data Structures,Algorithms,Node.js,Python,AWS","Problem Solving,Mobile Apps",3,Software Engineer
Bachelor,"User Research,CSS,Wireframing,Adobe XD,Prototyping","Design,Product Development",1,UX/UI Designer
Bachelor,"SIEM,Network Security,Risk Assessment,Penetration Testing,Linux,Firewalls,Cryptography","Network Protection,Security",1,Cybersecurity Analyst
Bachelor,"Python,Ethical Hacking,Firewalls,Penetration Testing,Linux","Risk Management,Network Protection,Ethical Hacking",1,Cybersecurity Analyst
Master,"AWS,JavaScript,Data Structures,Java,SQL,API Development,Node.js,React,Docker,C++","Mobile Apps,Web Development",1,Software Engineer
Bachelor,"Adobe XD,Wireframing,Design Thinking,Figma,User Research,HTML","Product Development,User Experience",1,UX/UI Designer
Bachelor,"Ethical Hacking,Cryptography,Linux,Penetration Testing,Network Security,Firewalls,Risk Assessment,SIEM",Risk Management,2,Cybersecurity Analyst
Bachelor,"Python,Kubernetes,Git,CI/CD,AWS,Terraform,Linux",Cloud Computing,1,DevOps Engineer
Bachelor,"Prototyping,Design Thinking,Figma,HTML,Adobe XD,Usability Testing","Product Development,Design",0,UX/UI Designer
Master,"Data Visualization,Machine Learning,Deep Learning,R,NumPy,SQL,Tableau,Python,PyTorch",AI,3,Data Scientist
Master,"Git,Docker,Python,Azure,Jenkins,Ansible,Linux,CI/CD","Automation,Infrastructure,Cloud Computing",2,DevOps Engineer
Master,"Scrum,User Research,Roadmap Planning,Stakeholder Management,Product Strategy,Data Analysis,Leadership","Strategy,Innovation,Leadership",2,Product Manager
Bachelor,"Terraform,Git,Linux,CI/CD,Jenkins,Kubernetes,Python,Bash,Azure","Infrastructure,Automation,Cloud Computing",3,DevOps Engineer
Bachelor,"Scrum,Roadmap Planning,Product Strategy,Agile,Stakeholder Management,User Research,Data Analysis,SQL,Leadership","Leadership,Strategy",1,Product Manager
Bachelor,"React,Data Structures,Java,C++,Python,API Development,Docker,Git","Software Development,Problem Solving,Web Development",1,Software Engineer
Master,"Agile,SQL,Scrum,User Research,Roadmap Planning,Leadership","Innovation,Product Development,Strategy",0,Product Manager
Bachelor,"Leadership,Agile,Stakeholder Management,User Research,Roadmap Planning,SQL","Leadership,Innovation",0,Product Manager
Bachelor,"Python,Data Structures,C++,Algorithms,AWS,API Development,Git,Java,JavaScript","Problem Solving,Web Development",0,Software Engineer
Bachelor,"CI/CD,Terraform,Bash,Python,Git,Azure,Ansible,Jenkins,Kubernetes",Infrastructure,1,DevOps Engineer
Master,"Docker,Data Structures,SQL,Java,JavaScript,Git,React,AWS","Mobile Apps,Web Development",1,Software Engineer
Master,"Leadership,Stakeholder Management,User Research,Scrum,Product Strategy,SQL,Roadmap Planning,Data Analysis,Agile",Innovation,0,Product Manager
Bachelor,"Stakeholder Management,Product Strategy,Data Analysis,Leadership,Scrum,Agile","Innovation,Strategy,Leadership",0,Product Manager
Master,"CSS,User Research,Usability Testing,Figma,HTML,Design Thinking,Adobe XD","Design,Product Development,User Experience",0,UX/UI Designer
Bachelor,"Bash,Kubernetes,AWS,Python,Docker,Jenkins,Azure,Git,Ansible","Automation,Cloud Computing",2,DevOps Engineer
Master,"Terraform,Docker,AWS,Bash,CI/CD,Jenkins,Python,Git,Ansible,Linux","Cloud Computing,Automation",0,DevOps Engineer
Bachelor,"Agile,Stakeholder Management,Data Analysis,Product Strategy,Roadmap Planning,User Research,Leadership,SQL",Innovation,0,Product Manager
Bachelor,"Design Thinking,Figma,Wireframing,HTML,Adobe XD","Visual Design,User Experience,Product Development",1,UX/UI Designer
Master,"R,Statistics,Python,TensorFlow,Tableau,Machine Learning,SQL,Pandas,PyTorch,Data Visualization","Machine Learning,AI,Data Analysis",0,Data Scientist
Bachelor,"Prototyping,Figma,Usability Testing,User Research,Wireframing,Design Thinking,HTML","Product Development,User Experience",0,UX/UI Designer
Bachelor,"Linux,Python,Penetration Testing,Firewalls,Network Security,Ethical Hacking",Risk Management,1,Cybersecurity Analyst
Bachelor,"Adobe XD,Design Thinking,HTML,Usability Testing,CSS,Figma,Wireframing,User Research,Prototyping",Design,3,UX/UI Designer
Bachelor,"Node.js,Algorithms,API Development,Data Structures,C++,Java",Mobile Apps,2,Software Engineer
Bachelor,"Network Security,Penetration Testing,Firewalls,Python,Linux,SIEM,Risk Assessment,Cryptography","Network Protection,Security,Ethical Hacking",1,Cybersecurity Analyst
Master,"Docker,SQL,AWS,API Development,JavaScript","Problem Solving,Mobile Apps,Web Development",1,Software Engineer
Master,"SIEM,Cryptography,Penetration Testing,Ethical Hacking,Risk Assessment,Linux,Python","Ethical Hacking,Security",0,Cybersecurity Analyst
Master,"Design Thinking,Usability Testing,Adobe XD,Wireframing,Figma,Prototyping,User Research","Design,Product Development",1,UX/UI Designer
Master,"Git,Python,Ansible,Terraform,AWS,Azure,Docker",System Administration,0,DevOps Engineer
Master,"API Development,AWS,JavaScript,Algorithms,Java,Git,Python","Web Development,Problem Solving",2,Software Engineer
Master,"Pandas,Deep Learning,Data Visualization,Python,NumPy,Machine Learning,TensorFlow,SQL,PyTorch","Research,AI",1,Data Scientist
Bachelor,"C++,SQL,Java,Python,Data Structures,JavaScript,Node.js,API Development,Git","Software Development,Web Development",0,Software Engineer
Master,"Deep Learning,Machine Learning,SQL,Data Visualization,PyTorch,TensorFlow,Tableau,Statistics","Machine Learning,Statistics",1,Data Scientist
Master,"Docker,Git,Kubernetes,Jenkins,Bash,Linux,CI/CD,AWS","System Administration,Automation",3,DevOps Engineer
Bachelor,"SQL,Agile,User Research,Leadership,Scrum,Roadmap Planning","Strategy,Product Development",1,Product Manager
Master,"Linux,Cryptography,Python,Ethical Hacking,Firewalls",Risk Management,1,Cybersecurity Analyst
Master,"Network Security,SIEM,Linux,Firewalls,Ethical Hacking","Security,Risk Management",0,Cybersecurity Analyst
Master,"SQL,Deep Learning,PyTorch,TensorFlow,Tableau,NumPy,Statistics,Pandas,Python,Data Visualization","AI,Data Analysis",1,Data Scientist
Master,"Data Visualization,Python,SQL,Machine Learning,Statistics,Tableau,Pandas,Deep Learning,R,TensorFlow",Research,1,Data Scientist
Bachelor,"AWS,SQL,Python,JavaScript,API Development,C++,Node.js,React,Docker","Mobile Apps,Web Development",1,Software Engineer
Bachelor,"Scrum,Leadership,Data Analysis,Stakeholder Management,User Research,Product Strategy,Roadmap Planning,SQL,Agile","Strategy,Leadership",0,Product Manager
Bachelor,"SIEM,Cryptography,Python,Ethical Hacking,Firewalls,Linux,Network Security,Penetration Testing,Risk Assessment",Ethical Hacking,2,Cybersecurity Analyst
Bachelor,"SQL,Algorithms,Git,Docker,AWS,Java","Web Development,Mobile Apps,Software Development",0,Software Engineer
Bachelor,"Python,Data Structures,Git,AWS,C++,Java,React,Docker","Mobile Apps,Problem Solving,Software Development",0,Software Engineer
Master,"R,PyTorch,Pandas,TensorFlow,Deep Learning,NumPy,Machine Learning,Python,SQL","Machine Learning,Research",1,Data Scientist
Master,"AWS,C++,SQL,Algorithms,Git,Docker,Python,JavaScript,Node.js,Data Structures",Problem Solving,0,Software Engineer
Bachelor,"Docker,C++,Algorithms,SQL,Data Structures,Python,AWS,Node.js,API Development,Git","Problem Solving,Web Development",0,Software Engineer
Bachelor,"Tableau,Machine Learning,TensorFlow,Deep Learning,Data Visualization,Statistics,R,Python","Data Analysis,AI,Research",1,Data Scientist
PhD,"Tableau,Python,Machine Learning,R,NumPy,Pandas,Statistics,SQL,Data Visualization","Statistics,AI",1,Data Scientist
Bachelor,"Docker,API Development,Git,C++,Java",Problem Solving,0,Software Engineer
Master,"Git,JavaScript,SQL,Python,Java,Data Structures,API Development","Software Development,Mobile Apps",0,Software Engineer
Bachelor,"Product Strategy,User Research,Leadership,Roadmap Planning,Scrum,Stakeholder Management","Leadership,Product Development,Strategy",0,Product Manager
Master,"C++,Data Structures,Git,React,Docker,Algorithms,AWS,JavaScript,Java,SQL","Mobile Apps,Problem Solving,Software Development",1,Software Engineer
Bachelor,"AWS,Python,Terraform,Linux,Kubernetes,Docker,CI/CD,Ansible","Cloud Computing,System Administration",1,DevOps Engineer
Bachelor,"Jenkins,Ansible,Bash,CI/CD,Azure,Linux,Python,Kubernetes,Docker,Git","Infrastructure,Cloud Computing",2,DevOps Engineer
Master,"Scrum,User Research,Product Strategy,Agile,Roadmap Planning,Stakeholder Management,Leadership,SQL,Data Analysis",Innovation,0,Product Manager
Master,"Design Thinking,Figma,Wireframing,Prototyping,Adobe XD,HTML,Usability Testing","Design,Visual Design,User Experience",0,UX/UI Designer
Bachelor,"Python,Firewalls,Network Security,Ethical Hacking,Penetration Testing","Security,Network Protection",1,Cybersecurity Analyst
Master,"SQL,Python,Tableau,Deep Learning,Statistics,NumPy",Research,1,Data Scientist
Bachelor,"Data Analysis,User Research,Scrum,Stakeholder Management,Roadmap Planning,Product Strategy,Leadership",Strategy,1,Product Manager
Bachelor,"Roadmap Planning,Scrum,Product Strategy,User Research,Leadership,Stakeholder Management,SQL","Product Development,Innovation,Strategy",0,Product Manager
PhD,"Python,SQL,Data Visualization,Tableau,Pandas,Machine Learning,PyTorch,Deep Learning",Data Analysis,2,Data Scientist
Master,"Kubernetes,CI/CD,Azure,AWS,Terraform,Git,Linux,Docker,Jenkins",Automation,2,DevOps Engineer
Master,"Data Visualization,Deep Learning,NumPy,Statistics,R,Python,Machine Learning","Research,Machine Learning,AI",0,Data Scientist
Master,"API Development,SQL,Node.js,Data Structures,C++,Docker",Web Development,0,Software Engineer
Bachelor,"Docker,Git,C++,Data Structures,JavaScript,React","Mobile Apps,Web Development,Problem Solving",0,Software Engineer
Bachelor,"HTML,CSS,Design Thinking,Prototyping,Usability Testing,User Research,Adobe XD",Design,3,UX/UI Designer
Master,"R,TensorFlow,NumPy,Pandas,Statistics,PyTorch,Python,Tableau",Research,0,Data Scientist
Master,"Leadership,Scrum,Product Strategy,Agile,Stakeholder Management,Roadmap Planning,User Research,SQL","Innovation,Leadership,Strategy",2,Product Manager
Bachelor,"Linux,Terraform,Ansible,Jenkins,Bash,Kubernetes","Automation,System Administration",1,DevOps Engineer
Bachelor,"User Research,Prototyping,HTML,CSS,Figma,Usability Testing,Design Thinking,Adobe XD,Wireframing",Product Development,1,UX/UI Designer
Bachelor,"User Research,Wireframing,CSS,Prototyping,Adobe XD,Figma,Usability Testing,HTML",User Experience,2,UX/UI Designer
Bachelor,"Linux,Terraform,Bash,CI/CD,AWS,Azure,Jenkins","Infrastructure,Automation,System Administration",2,DevOps Engineer
PhD,"Data Visualization,Tableau,TensorFlow,SQL,Statistics,Pandas,R,PyTorch,NumPy,Machine Learning","AI,Research",2,Data Scientist
Bachelor,"AWS,Algorithms,Node.js,SQL,Docker,Python,API Development,C++","Software Development,Web Development",0,Software Engineer
Master,"Git,Azure,Terraform,Bash,Linux,CI/CD,Python,Kubernetes,AWS,Jenkins","Automation,System Administration,Infrastructure",0,DevOps Engineer
Bachelor,"Usability Testing,Adobe XD,Prototyping,HTML,User Research,Design Thinking,Figma,Wireframing","Visual Design,User Experience,Design",1,UX/UI Designer
Master,"Node.js,AWS,C++,Git,Docker,API Development,Python,SQL","Problem Solving,Web Development,Software Development",0,Software Engineer
Bachelor,"Deep Learning,Statistics,R,Python,Tableau,Data Visualization",Statistics,0,Data Scientist
Master,"Firewalls,Cryptography,Linux,Risk Assessment,Network Security,Penetration Testing",Network Protection,2,Cybersecurity Analyst
